idx,precision@25
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.96
7,0.72
8,1.0
9,1.0
10,0.8
11,1.0
12,1.0
13,1.0
14,0.64
15,0.68
16,0.28
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,0.88
24,0.28
25,0.16
26,0.0
27,0.16
28,1.0
29,0.44
30,0.8
31,0.8
32,0.8
33,0.4
34,0.4
35,0.12
36,1.0
37,0.52
38,1.0
39,0.16
40,0.04
41,0.36
42,0.08
43,1.0
44,0.12
45,0.0
46,0.08
47,1.0
48,0.52
49,0.48
50,0.8
51,0.72
52,0.04
53,1.0
54,0.6
55,0.36
56,0.0
57,0.0
58,0.04
59,0.36
60,0.0
61,0.0
62,0.04
63,0.36
64,0.0
65,0.0
66,0.08
67,0.72
68,0.0
69,0.0
70,0.08
71,0.76
72,0.76
73,0.0
74,0.0
75,0.08
76,0.32
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
