idx,recall,Prec@next_10,Prec@next_20,Prec@next_30,Prec@next_40,Prec@next_50,run_index
0.0,0.011111111111111112,0.8,0.75,0.6333333333333333,0.55,0.6,0
1.0,0.03333333333333333,1.0,1.0,0.8,0.7,0.64,0
2.0,0.06111111111111111,1.0,0.7,0.5666666666666667,0.525,0.52,0
3.0,0.08888888888888889,0.4,0.35,0.36666666666666664,0.4,0.38,0
4.0,0.1,0.3,0.35,0.4,0.375,0.34,0
5.0,0.10833333333333334,0.4,0.45,0.4,0.35,0.36,0
6.0,0.11944444444444445,0.5,0.4,0.3333333333333333,0.35,0.34,0
7.0,0.13333333333333333,0.3,0.25,0.26666666666666666,0.325,0.3,0
8.0,0.14166666666666666,0.2,0.25,0.3,0.3,0.38,0
9.0,0.14722222222222223,0.3,0.4,0.3333333333333333,0.425,0.36,0
10.0,0.15555555555555556,0.5,0.35,0.4666666666666667,0.375,0.4,0
11.0,0.16944444444444445,0.3,0.4,0.3333333333333333,0.375,0.32,0
12.0,0.17777777777777778,0.5,0.4,0.4,0.325,0.38,0
13.0,0.19166666666666668,0.3,0.35,0.26666666666666666,0.35,0.32,0
14.0,0.2,0.4,0.25,0.36666666666666664,0.35,0.44,0
15.0,0.2111111111111111,0.1,0.35,0.36666666666666664,0.45,0.48,0
16.0,0.21388888888888888,0.6,0.55,0.5666666666666667,0.575,0.58,0
17.0,0.23055555555555557,0.6,0.5,0.5666666666666667,0.55,0.56,0
18.0,0.24722222222222223,0.4,0.55,0.5666666666666667,0.55,0.5,0
19.0,0.25833333333333336,0.6,0.65,0.6,0.525,0.54,0
20.0,0.275,0.7,0.6,0.5,0.525,0.56,0
21.0,0.29444444444444445,0.5,0.4,0.5,0.525,0.48,0
22.0,0.30833333333333335,0.3,0.5,0.5333333333333333,0.475,0.46,0
23.0,0.31666666666666665,0.7,0.65,0.5333333333333333,0.5,0.46,0
24.0,0.33611111111111114,0.6,0.45,0.43333333333333335,0.4,0.36,0
25.0,0.3527777777777778,0.2,0.35,0.3333333333333333,0.3,0.36,0
26.0,0.35833333333333334,0.6,0.4,0.36666666666666664,0.4,0.42,0
27.0,0.375,0.1,0.2,0.3,0.375,0.36,0
28.0,0.37777777777777777,0.3,0.35,0.4666666666666667,0.425,0.5,0
29.0,0.3861111111111111,0.4,0.55,0.4666666666666667,0.55,0.56,0
30.0,0.3972222222222222,0.6,0.5,0.6333333333333333,0.575,0.56,0
31.0,0.41388888888888886,0.4,0.65,0.5666666666666667,0.55,0.5,0
32.0,0.425,0.9,0.65,0.6,0.55,0.46,0
33.0,0.45,0.4,0.45,0.36666666666666664,0.35,0.4,0
34.0,0.46111111111111114,0.4,0.4,0.36666666666666664,0.425,0.38,0
35.0,0.4722222222222222,0.3,0.4,0.43333333333333335,0.375,0.46,0
36.0,0.48055555555555557,0.4,0.45,0.4,0.475,0.48,0
37.0,0.49166666666666664,0.6,0.4,0.5333333333333333,0.5,0.48,0
38.0,0.5083333333333333,0.2,0.4,0.4666666666666667,0.425,0.36,0
39.0,0.5138888888888888,0.6,0.6,0.5,0.4,0.46,0
40.0,0.5305555555555556,0.6,0.5,0.3333333333333333,0.425,0.46,0
41.0,0.5472222222222223,0.3,0.2,0.3333333333333333,0.425,0.48,0
42.0,0.5555555555555556,0.1,0.35,0.4666666666666667,0.525,0.46,0
43.0,0.5583333333333333,0.6,0.65,0.6666666666666666,0.55,0.46,0
44.0,0.575,0.7,0.6,0.5333333333333333,0.425,0.36,0
45.0,0.5944444444444444,0.5,0.45,0.36666666666666664,0.275,0.26,0
46.0,0.6083333333333333,0.4,0.3,0.2,0.2,0.3,0
47.0,0.6194444444444445,0.2,0.1,0.13333333333333333,0.275,0.26,0
48.0,0.625,0.0,0.05,0.3,0.275,0.34,0
49.0,0.625,0.1,0.45,0.36666666666666664,0.425,0.44,0
50.0,0.6277777777777778,0.8,0.5,0.5,0.525,0.48,0
51.0,0.65,0.2,0.35,0.43333333333333335,0.425,0.46,0
52.0,0.6555555555555556,0.5,0.55,0.5,0.525,0.56,0
53.0,0.6694444444444444,0.6,0.5,0.5333333333333333,0.575,0.58,0
54.0,0.6861111111111111,0.4,0.5,0.5333333333333333,0.575,0.64,0
55.0,0.6972222222222222,0.6,0.6,0.6333333333333333,0.7,0.7,0
56.0,0.7138888888888889,0.7,0.65,0.7333333333333333,0.725,0.64,0
57.0,0.7333333333333333,0.6,0.75,0.7333333333333333,0.65,0.64,0
58.0,0.75,0.9,0.8,0.6666666666666666,0.65,0.68,0
59.0,0.775,0.7,0.55,0.5666666666666667,0.625,0.62,0
60.0,0.7944444444444444,0.4,0.55,0.6,0.6,0.64,0
61.0,0.8055555555555556,0.7,0.7,0.6666666666666666,0.7,0.66,0
62.0,0.825,0.7,0.65,0.7333333333333333,0.675,0.7,0
63.0,0.8444444444444444,0.7,0.75,0.6666666666666666,0.7,0.74,0
64.0,0.8638888888888889,0.8,0.65,0.7,0.75,0.76,0
65.0,0.8861111111111111,0.5,0.6,0.7333333333333333,0.75,0.68,0
66.0,0.9,0.7,0.85,0.8333333333333334,0.725,0.72,0
67.0,0.9194444444444444,1.0,0.9,0.7333333333333333,0.725,0.58,0
68.0,0.9472222222222222,0.8,0.6,0.6333333333333333,0.475,0.38,0
69.0,0.9694444444444444,0.4,0.55,0.36666666666666664,0.275,0.22,0
70.0,0.9805555555555555,0.7,0.35,0.23333333333333334,0.175,0.14,0
71.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.013888888888888888,1.0,0.65,0.7,0.75,0.74,1
1.0,0.041666666666666664,0.2,0.6,0.6666666666666666,0.675,0.6,1
2.0,0.04722222222222222,1.0,0.9,0.8333333333333334,0.7,0.6,1
3.0,0.075,0.8,0.75,0.6,0.5,0.46,1
4.0,0.09722222222222222,0.7,0.5,0.4,0.375,0.32,1
5.0,0.11666666666666667,0.3,0.25,0.26666666666666666,0.225,0.3,1
6.0,0.125,0.2,0.25,0.2,0.3,0.3,1
7.0,0.13055555555555556,0.3,0.2,0.3333333333333333,0.325,0.34,1
8.0,0.1388888888888889,0.1,0.35,0.36666666666666664,0.35,0.42,1
9.0,0.14166666666666666,0.5,0.45,0.4666666666666667,0.425,0.44,1
10.0,0.15555555555555556,0.4,0.45,0.4,0.425,0.38,1
11.0,0.16666666666666666,0.5,0.4,0.4,0.375,0.38,1
12.0,0.18055555555555555,0.2,0.35,0.3333333333333333,0.375,0.42,1
13.0,0.18611111111111112,0.5,0.4,0.43333333333333335,0.475,0.5,1
14.0,0.2,0.3,0.4,0.43333333333333335,0.5,0.5,1
15.0,0.20833333333333334,0.6,0.55,0.5666666666666667,0.575,0.54,1
16.0,0.225,0.5,0.5,0.5666666666666667,0.525,0.54,1
17.0,0.2388888888888889,0.4,0.55,0.5333333333333333,0.6,0.54,1
18.0,0.25,0.8,0.65,0.6333333333333333,0.6,0.54,1
19.0,0.2722222222222222,0.5,0.55,0.5333333333333333,0.5,0.46,1
20.0,0.2861111111111111,0.5,0.45,0.5,0.475,0.52,1
21.0,0.3,0.4,0.55,0.5,0.55,0.56,1
22.0,0.3111111111111111,0.7,0.55,0.6,0.6,0.6,1
23.0,0.33055555555555555,0.5,0.6,0.6,0.575,0.54,1
24.0,0.34444444444444444,0.8,0.65,0.6,0.525,0.5,1
25.0,0.36666666666666664,0.5,0.45,0.43333333333333335,0.4,0.5,1
26.0,0.38055555555555554,0.5,0.4,0.3333333333333333,0.5,0.54,1
27.0,0.39444444444444443,0.4,0.3,0.5,0.55,0.54,1
28.0,0.40555555555555556,0.4,0.45,0.6,0.6,0.5,1
29.0,0.4166666666666667,0.5,0.7,0.6666666666666666,0.525,0.52,1
30.0,0.4305555555555556,0.9,0.75,0.5333333333333333,0.5,0.42,1
31.0,0.45555555555555555,0.4,0.35,0.26666666666666666,0.3,0.28,1
32.0,0.4666666666666667,0.3,0.2,0.26666666666666666,0.25,0.28,1
33.0,0.475,0.1,0.15,0.23333333333333334,0.275,0.22,1
34.0,0.4777777777777778,0.2,0.3,0.3333333333333333,0.275,0.28,1
35.0,0.48333333333333334,0.3,0.35,0.3,0.275,0.32,1
36.0,0.49166666666666664,0.4,0.3,0.26666666666666666,0.325,0.38,1
37.0,0.5027777777777778,0.2,0.25,0.26666666666666666,0.35,0.4,1
38.0,0.5083333333333333,0.4,0.35,0.4,0.45,0.4,1
39.0,0.5194444444444445,0.4,0.4,0.4666666666666667,0.425,0.42,1
40.0,0.5305555555555556,0.4,0.45,0.43333333333333335,0.425,0.42,1
41.0,0.5416666666666666,0.7,0.5,0.4,0.45,0.48,1
42.0,0.5611111111111111,0.3,0.3,0.3333333333333333,0.425,0.44,1
43.0,0.5694444444444444,0.2,0.35,0.4666666666666667,0.5,0.54,1
44.0,0.575,0.5,0.55,0.6,0.625,0.58,1
45.0,0.5888888888888889,0.6,0.65,0.7,0.625,0.54,1
46.0,0.6055555555555555,0.7,0.75,0.6333333333333333,0.55,0.52,1
47.0,0.625,0.8,0.6,0.43333333333333335,0.525,0.46,1
48.0,0.6472222222222223,0.4,0.35,0.36666666666666664,0.4,0.36,1
49.0,0.6583333333333333,0.4,0.4,0.4,0.325,0.36,1
50.0,0.6694444444444444,0.3,0.4,0.3,0.375,0.38,1
51.0,0.6777777777777778,0.5,0.35,0.43333333333333335,0.45,0.5,1
52.0,0.6916666666666667,0.1,0.35,0.43333333333333335,0.525,0.52,1
